Slice,Mean
533,525.562
534,480.385
535,463.293
536,468.558
537,524.149
538,508.745
539,518.476
540,489.793
541,505.899
542,486.99
543,483.582
544,473.668
545,474.231
546,483.692
547,471.067
548,512.192
549,524.337
550,550.38
551,495.053
552,487.87
553,447.659
554,495.567
555,536.63
556,576.683
557,530.019
558,512.966
559,521.423
560,486.178
561,558.361
562,530.255
563,519.899
564,503.822
565,461.495
566,482.678
567,526.154
568,540.822
569,520.663
570,491.99
571,449.144
572,474.043
573,472.88
574,517.87
575,515.135
576,507.803
577,497.971
578,500.808
579,531.106
580,493.856
581,441.885
582,473.005
583,432.048
584,500.582
585,566.361
586,508.476
587,524.524
588,467.101
589,459.755
590,522.385
591,539.221
592,511.375
593,501.221
594,520.111
595,428.639
596,546.933
597,516.236
598,545.077
599,532.337
600,471.736
601,479.274
602,461.529
603,570.62
604,557.019
605,497.192
606,486.091
607,497.952
608,455.038
609,492.673
610,512.524
611,494.707
612,492.312
613,478.803
614,467.087
615,487.385
616,537.341
617,510.582
618,512.212
619,475.683
620,489.812
621,534.673
622,524.274
623,529.87
624,476.851
625,482.471
626,485.173
627,566.019
628,551.779
629,539.212
630,477.168
631,521.764
632,453.111
633,569.087
634,548.793
635,540.038
636,465.173
637,490.885
638,481.067
639,510.274
640,516.889
641,533.154
642,502.615
643,457.216
644,483.755
645,544.096
646,540.644
647,484.822
648,493.731
649,446.745
650,489.928
651,540.149
652,530.462
653,489.077
654,466.712
655,454.769
656,506.721
657,520.644
658,519.082
659,498.889
660,476.923
661,441.337
662,511.899
663,517.245
664,502.865
665,495.226
666,472.957
667,488.899
668,502.846
669,517.678
670,508.082
671,490.678
672,476.356
673,420.212
674,481.923
675,482.212
676,543.673
677,506.236
678,497.788
679,475.611
680,483.5
681,499.26
682,517.529
683,477.856
684,463.255
685,432.067
686,471.466
687,455.404
688,472.327
689,479.077
690,456.375
691,504.37
692,517.048
693,513.178
694,485.197
695,472.942
696,480.442
697,483.062
698,545.49
699,544.548
700,526.394
701,480.846
702,504.971
703,524.649
704,529.736
705,547.207
706,471.163
707,464.168
708,451.077
709,428.144
710,554.716
711,536.649
712,542.668
713,491.63
714,479.197
715,504.995
716,515.957
717,536.918
718,500.144
719,493.817
720,487.841
721,457.12
722,497.534
723,529.913
724,496.942
725,473.394
726,488.034
727,494.923
728,516.933
729,563.885
730,513.413
731,500.851
732,536.788
733,460.938
734,545.63
735,531.207
736,541.125
737,513.014
738,538.029
739,489.361
740,586.75
741,525.37
742,533.514
743,503.125
744,474.264
745,455.476
746,555.111
747,480.726
748,538.058
749,514.827
750,527.01
751,482.067
752,500.995
753,553.264
754,521.736
755,482.163
756,492.726
757,504.558
758,522.019
759,518.317
760,545.524
761,454.13
762,518.702
763,467.486
764,440.572
765,498.812
766,536.438
767,525.745
768,497.163
769,470.688
770,488.298
771,502.721
772,537.192
773,479.101
774,522.889
775,489.543
776,456.514
777,448.534
778,472.284
779,524.663
780,513.284
781,491.524
782,468.481
783,466.668
784,523.966
785,520.678
786,521.947
787,489.442
788,470.231
789,460.601
790,560.822
791,490.659
792,527.048
793,478.995
794,472.457
795,497.505
796,534.644
797,555.423
798,558.731
799,501.197
800,483.87
801,479.476
802,518.716
803,538.639
804,546.798
805,498.495
806,500.812
807,452.663
808,526.019
809,522.639
810,545.212
811,516.024
812,468.298
813,481.764
814,456.462
815,521.933
816,540.736
817,501.471
818,478.197
819,470.135
820,477.077
821,469.832
822,526.947
823,502.558
824,535.63
